edge_id,hour,duration_mins,traffic_density,is_weekend,daily_train_volume,track_distance_km,trains_affected,delay_mins
BZA-RU,21,120,3,1,12,376,3,187
BZA-RU,14,240,1,0,12,376,1,66
BZA-RU,8,300,3,1,12,376,3,255
BZA-RU,16,120,1,0,12,376,1,47
BZA-RU,18,180,0,1,12,376,0,0
BZA-RU,4,360,1,0,12,376,1,118
BZA-RU,4,180,1,1,12,376,1,44
JTJ-RU,15,120,1,1,4,198,1,45
JTJ-RU,1,240,1,0,4,198,1,65
JTJ-RU,9,180,1,0,4,198,1,46
JTJ-RU,15,360,1,1,4,198,1,120
JTJ-RU,13,240,2,1,4,198,2,124
JTJ-RU,18,360,0,0,4,198,0,0
JTJ-RU,10,60,1,1,4,198,1,44
JTJ-RU,4,120,0,0,4,198,0,0
JTJ-RU,2,360,1,0,4,198,1,112
JTJ-RU,10,60,1,0,4,198,1,44
JTJ-RU,4,240,0,1,4,198,0,0
JTJ-RU,8,120,0,0,4,198,0,0
JTJ-RU,9,300,2,0,4,198,2,155
JTJ-RU,20,120,0,1,4,198,0,0
JTJ-RU,3,480,2,1,4,198,2,222
BNC-JTJ,9,480,1,0,3,144,1,159
BNC-JTJ,7,480,1,1,3,144,1,165
BNC-JTJ,11,120,0,1,3,144,0,0
BNC-JTJ,3,300,0,1,3,144,0,0
BNC-JTJ,22,60,0,0,3,144,0,0
BNC-JTJ,0,360,1,1,3,144,1,117
BNC-JTJ,1,480,1,1,3,144,1,164
BNC-JTJ,23,60,0,0,3,144,0,0
BNC-JTJ,2,180,0,1,3,144,0,0
BNC-JTJ,8,60,0,0,3,144,0,0
BNC-JTJ,20,60,1,1,3,144,1,43
BNC-JTJ,18,240,1,1,3,144,1,73
BNC-JTJ,12,60,0,1,3,144,0,0
BNC-JTJ,0,120,1,0,3,144,1,40
BNC-JTJ,1,240,1,0,3,144,1,69
DR-TNA,15,60,4,0,66,25,4,260
DR-TNA,21,480,22,0,66,25,22,2582
DR-TNA,9,360,15,0,66,25,15,1620
DR-TNA,1,60,0,1,66,25,0,0
DR-TNA,16,60,2,0,66,25,2,113
DR-TNA,1,240,9,1,66,25,10,1012
DR-TNA,19,180,14,1,66,25,16,1765
DR-TNA,6,480,21,1,66,25,24,2643
DR-TNA,2,300,19,0,66,25,19,2228
DR-TNA,21,360,14,0,66,25,14,1671
DR-TNA,22,480,21,0,66,25,21,2417
DR-TNA,9,240,9,0,66,25,9,886
DR-TNA,7,180,3,1,66,25,3,212
DR-TNA,15,360,16,0,66,25,16,1743
DR-TNA,19,360,22,0,66,25,22,2258
KYN-TNA,21,240,21,0,115,20,21,2064
KYN-TNA,2,60,9,0,115,20,9,975
KYN-TNA,13,240,19,1,115,20,21,2155
KYN-TNA,23,60,5,1,115,20,5,402
KYN-TNA,18,180,17,1,115,20,19,2098
KYN-TNA,11,60,3,1,115,20,3,187
KYN-TNA,15,240,22,0,115,20,22,2483
KYN-TNA,0,120,2,0,115,20,2,112
KYN-TNA,16,360,35,0,115,20,35,3710
KYN-TNA,15,300,27,0,115,20,27,2941
KYN-TNA,22,480,38,1,115,20,43,4882
KYN-TNA,6,120,7,0,115,20,7,655
KYN-TNA,5,240,15,1,115,20,17,1767
KYN-TNA,10,240,24,0,115,20,24,2634
KYN-TNA,19,360,32,0,115,20,32,3276
IGP-KYN,11,180,11,1,78,83,12,1184
IGP-KYN,10,300,13,0,78,83,13,1281
IGP-KYN,11,300,14,0,78,83,14,1535
IGP-KYN,10,240,11,1,78,83,12,1253
IGP-KYN,19,360,16,1,78,83,18,1845
IGP-KYN,1,180,10,0,78,83,10,961
IGP-KYN,19,300,12,1,78,83,13,1335
IGP-KYN,5,480,22,0,78,83,22,2375
IGP-KYN,8,360,20,0,78,83,20,2213
IGP-KYN,18,480,26,1,78,83,29,2874
IGP-KYN,4,60,5,1,78,83,5,466
IGP-KYN,18,240,15,0,78,83,15,1637
IGP-KYN,19,300,12,1,78,83,13,1510
IGP-KYN,6,360,20,0,78,83,20,2335
IGP-KYN,5,60,0,1,78,83,0,0
IGP-NK,23,60,2,0,56,51,2,109
IGP-NK,9,120,6,0,56,51,6,486
IGP-NK,20,240,7,0,56,51,7,730
IGP-NK,7,480,19,0,56,51,19,2042
IGP-NK,23,240,9,0,56,51,9,971
IGP-NK,23,360,14,1,56,51,16,1674
IGP-NK,21,360,13,1,56,51,14,1593
IGP-NK,6,180,7,0,56,51,7,733
IGP-NK,15,120,6,1,56,51,6,556
IGP-NK,12,60,0,0,56,51,0,0
IGP-NK,10,300,10,0,56,51,10,1132
IGP-NK,2,300,7,1,56,51,8,926
IGP-NK,12,360,17,0,56,51,17,1712
IGP-NK,11,360,12,1,56,51,13,1446
IGP-NK,9,480,18,1,56,51,20,2319
CSN-NK,14,60,0,0,2,140,0,0
CSN-NK,13,360,0,1,2,140,0,0
CSN-NK,14,480,0,0,2,140,0,0
CSN-NK,21,300,1,0,2,140,1,92
CSN-NK,20,360,1,1,2,140,1,119
CSN-NK,10,300,0,1,2,140,0,0
CSN-NK,4,480,1,1,2,140,1,169
CSN-NK,22,480,1,1,2,140,1,166
CSN-NK,7,360,1,1,2,140,1,119
CSN-NK,2,300,0,0,2,140,0,0
CSN-NK,12,240,0,0,2,140,0,0
CSN-NK,13,60,0,0,2,140,0,0
CSN-NK,16,480,0,0,2,140,0,0
CSN-NK,19,360,1,0,2,140,1,111
CSN-NK,0,300,1,0,2,140,1,89
CSN-JL,10,180,0,0,14,93,0,0
CSN-JL,13,240,0,1,14,93,0,0
CSN-JL,23,180,6,1,14,93,6,608
CSN-JL,7,120,0,0,14,93,0,0
CSN-JL,13,60,0,0,14,93,0,0
CSN-JL,0,480,11,1,14,93,12,1377
CSN-JL,19,360,5,0,14,93,5,439
CSN-JL,16,360,1,0,14,93,1,119
CSN-JL,16,480,2,0,14,93,2,224
CSN-JL,11,300,0,1,14,93,0,0
CSN-JL,16,360,1,0,14,93,1,112
CSN-JL,16,120,0,1,14,93,0,0
CSN-JL,19,180,1,1,14,93,1,43
CSN-JL,1,180,8,0,14,93,8,765
CSN-JL,20,300,5,1,14,93,5,446
BSL-JL,21,120,10,0,128,24,10,1054
BSL-JL,6,360,19,0,128,24,19,1969
BSL-JL,13,300,33,0,128,24,33,3557
BSL-JL,16,60,5,0,128,24,5,366
BSL-JL,23,240,21,0,128,24,21,2274
BSL-JL,22,480,45,1,128,24,51,5540
BSL-JL,13,300,33,1,128,24,37,3655
BSL-JL,1,300,33,1,128,24,37,4320
BSL-JL,0,360,37,0,128,24,37,4289
BSL-JL,7,240,10,0,128,24,10,1125
BSL-JL,1,60,4,0,128,24,4,254
BSL-JL,14,240,24,0,128,24,24,2762
BSL-JL,4,60,9,0,128,24,9,961
BSL-JL,22,180,12,1,128,24,13,1378
BSL-JL,15,480,43,1,128,24,49,5397
JL-PC,9,60,0,0,24,47,0,0
JL-PC,6,60,0,1,24,47,0,0
JL-PC,1,360,8,1,24,47,9,952
JL-PC,2,60,0,1,24,47,0,0
JL-PC,9,120,1,0,24,47,1,42
JL-PC,14,480,11,1,24,47,12,1307
JL-PC,13,120,0,0,24,47,0,0
JL-PC,7,120,1,1,24,47,1,46
JL-PC,4,300,8,0,24,47,8,860
JL-PC,22,120,1,0,24,47,1,41
JL-PC,18,360,9,0,24,47,9,1006
JL-PC,0,180,2,1,24,47,2,105
JL-PC,9,60,0,1,24,47,0,0
JL-PC,11,480,6,0,24,47,6,664
JL-PC,8,300,2,1,24,47,2,168
CSN-PC,0,360,6,0,20,45,6,634
CSN-PC,18,180,4,0,20,45,4,287
CSN-PC,2,60,1,0,20,45,1,41
CSN-PC,11,480,7,0,20,45,7,746
CSN-PC,23,180,1,1,20,45,1,41
CSN-PC,14,360,7,0,20,45,7,704
CSN-PC,17,60,3,0,20,45,3,199
CSN-PC,12,480,7,0,20,45,7,812
CSN-PC,18,60,1,0,20,45,1,42
CSN-PC,6,120,2,1,20,45,2,100
CSN-PC,2,480,7,0,20,45,7,831
CSN-PC,10,240,2,1,20,45,2,133
CSN-PC,21,120,2,1,20,45,2,120
CSN-PC,12,360,4,0,20,45,4,339
CSN-PC,22,480,6,0,20,45,6,672
CSN-JMD,20,120,1,0,2,15,1,44
CSN-JMD,5,180,1,0,2,15,1,40
CSN-JMD,9,300,0,0,2,15,0,0
CSN-JMD,18,360,1,0,2,15,1,112
CSN-JMD,23,60,0,0,2,15,0,0
CSN-JMD,20,360,1,1,2,15,1,116
CSN-JMD,12,60,0,1,2,15,0,0
CSN-JMD,2,60,0,0,2,15,0,0
CSN-JMD,11,480,0,1,2,15,0,0
CSN-JMD,16,120,0,1,2,15,0,0
CSN-JMD,8,180,0,1,2,15,0,0
CSN-JMD,20,300,1,0,2,15,1,95
CSN-JMD,18,240,1,1,2,15,1,66
CSN-JMD,21,60,1,0,2,15,1,42
CSN-JMD,5,300,1,1,2,15,1,88
JMD-SHF,7,480,0,0,2,21,0,0
JMD-SHF,6,360,0,0,2,21,0,0
JMD-SHF,21,240,1,0,2,21,1,66
JMD-SHF,8,360,0,1,2,21,0,0
JMD-SHF,20,180,1,1,2,21,1,40
JMD-SHF,20,180,1,1,2,21,1,45
JMD-SHF,7,360,0,1,2,21,0,0
JMD-SHF,11,120,0,1,2,21,0,0
JMD-SHF,15,180,0,0,2,21,0,0
JMD-SHF,6,480,0,0,2,21,0,0
JMD-SHF,7,480,0,1,2,21,0,0
JMD-SHF,16,240,0,1,2,21,0,0
JMD-SHF,10,120,0,1,2,21,0,0
JMD-SHF,8,360,0,0,2,21,0,0
JMD-SHF,5,480,1,0,2,21,1,167
DHI-SHF,14,480,0,1,2,21,0,0
DHI-SHF,17,240,0,0,2,21,0,0
DHI-SHF,14,240,0,1,2,21,0,0
DHI-SHF,12,60,0,0,2,21,0,0
DHI-SHF,1,60,0,1,2,21,0,0
DHI-SHF,8,60,0,0,2,21,0,0
DHI-SHF,4,240,1,0,2,21,1,67
DHI-SHF,17,300,0,1,2,21,0,0
DHI-SHF,3,60,0,1,2,21,0,0
DHI-SHF,17,180,0,1,2,21,0,0
DHI-SHF,22,300,1,0,2,21,1,88
DHI-SHF,20,300,1,0,2,21,1,92
DHI-SHF,1,180,0,1,2,21,0,0
DHI-SHF,7,480,0,1,2,21,0,0
DHI-SHF,11,120,0,1,2,21,0,0
CSN-NGN,9,240,2,1,21,43,2,131
CSN-NGN,2,480,11,0,21,43,11,1175
CSN-NGN,0,480,11,1,21,43,12,1308
CSN-NGN,23,180,1,0,21,43,1,45
CSN-NGN,20,300,5,1,21,43,5,454
CSN-NGN,11,60,2,1,21,43,2,105
CSN-NGN,15,60,0,0,21,43,0,0
CSN-NGN,3,480,10,0,21,43,10,1116
CSN-NGN,15,360,5,0,21,43,5,470
CSN-NGN,14,180,1,0,21,43,1,41
CSN-NGN,4,480,8,1,21,43,9,1055
CSN-NGN,18,120,1,0,21,43,1,45
CSN-NGN,17,60,1,0,21,43,1,45
CSN-NGN,11,360,3,0,21,43,3,271
CSN-NGN,12,60,0,0,21,43,0,0
MMR-NGN,0,120,1,1,19,25,1,45
MMR-NGN,21,360,5,1,19,25,5,475
MMR-NGN,18,240,3,0,19,25,3,191
MMR-NGN,20,120,2,1,19,25,2,107
MMR-NGN,21,180,3,1,19,25,3,190
MMR-NGN,7,180,2,1,19,25,2,118
MMR-NGN,10,300,2,0,19,25,2,157
MMR-NGN,3,480,8,1,19,25,9,1082
MMR-NGN,0,480,9,1,19,25,10,1134
MMR-NGN,11,180,2,0,19,25,2,102
MMR-NGN,23,120,1,0,19,25,1,46
MMR-NGN,12,480,4,0,19,25,4,408
MMR-NGN,21,240,3,0,19,25,3,194
MMR-NGN,9,240,2,0,19,25,2,127
MMR-NGN,21,120,2,1,19,25,2,117
LS-MMR,14,120,0,1,20,25,0,0
LS-MMR,22,120,2,0,20,25,2,95
LS-MMR,22,480,8,0,20,25,8,900
LS-MMR,5,300,5,1,20,25,5,461
LS-MMR,3,120,2,1,20,25,2,106
LS-MMR,15,120,0,1,20,25,0,0
LS-MMR,13,180,0,0,20,25,0,0
LS-MMR,1,120,4,0,20,25,4,281
LS-MMR,11,240,1,0,20,25,1,71
LS-MMR,6,480,8,0,20,25,8,926
LS-MMR,1,120,4,1,20,25,4,293
LS-MMR,9,300,4,0,20,25,4,334
LS-MMR,22,300,6,1,20,25,6,621
LS-MMR,21,480,8,0,20,25,8,1016
LS-MMR,16,180,3,0,20,25,3,200
LS-NK,2,360,2,0,10,48,2,168
LS-NK,4,180,1,0,10,48,1,43
LS-NK,6,480,3,0,10,48,3,290
LS-NK,10,240,2,1,10,48,2,133
LS-NK,2,180,2,0,10,48,2,113
LS-NK,14,360,2,1,10,48,2,188
LS-NK,18,180,2,0,10,48,2,101
LS-NK,0,480,4,1,10,48,4,410
LS-NK,4,300,1,0,10,48,1,94
LS-NK,10,60,1,0,10,48,1,40
LS-NK,2,60,1,1,10,48,1,47
LS-NK,3,480,3,0,10,48,3,285
LS-NK,14,120,0,0,10,48,0,0
LS-NK,20,360,3,1,10,48,3,268
LS-NK,8,180,2,0,10,48,2,108
DVL-NK,22,180,9,0,40,6,9,983
DVL-NK,5,60,1,0,40,6,1,40
DVL-NK,7,240,10,0,40,6,10,1149
DVL-NK,4,360,13,1,40,6,14,1549
DVL-NK,4,120,1,0,40,6,1,44
DVL-NK,4,180,3,0,40,6,3,173
DVL-NK,9,60,6,1,40,6,6,529
DVL-NK,10,360,5,0,40,6,5,494
DVL-NK,16,120,1,0,40,6,1,42
DVL-NK,10,360,5,1,40,6,5,518
DVL-NK,16,240,5,1,40,6,5,459
DVL-NK,6,240,12,0,40,6,12,1298
DVL-NK,16,120,1,1,40,6,1,40
DVL-NK,15,180,3,0,40,6,3,190
DVL-NK,5,180,7,1,40,6,8,767
DVL-IGP,13,180,3,1,41,44,3,178
DVL-IGP,6,240,9,1,41,44,10,1129
DVL-IGP,4,120,1,0,41,44,1,42
DVL-IGP,6,480,14,1,41,44,16,1863
DVL-IGP,19,480,15,1,41,44,17,2077
DVL-IGP,16,180,6,0,41,44,6,536
DVL-IGP,15,480,12,0,41,44,12,1505
DVL-IGP,17,120,6,0,41,44,6,569
DVL-IGP,22,60,1,0,41,44,1,39
DVL-IGP,6,180,7,0,41,44,7,650
DVL-IGP,18,60,3,1,41,44,3,193
DVL-IGP,4,120,1,0,41,44,1,44
DVL-IGP,16,360,9,0,41,44,9,945
DVL-IGP,22,240,12,0,41,44,12,1239
DVL-IGP,0,60,5,0,41,44,5,421
IGP-KSRA,21,240,7,1,22,16,8,797
IGP-KSRA,8,60,5,0,22,16,5,398
IGP-KSRA,6,480,8,1,22,16,9,1122
IGP-KSRA,12,120,0,0,22,16,0,0
IGP-KSRA,22,60,2,1,22,16,2,119
IGP-KSRA,19,240,5,0,22,16,5,436
IGP-KSRA,10,300,2,0,22,16,2,145
IGP-KSRA,9,240,2,1,22,16,2,127
IGP-KSRA,13,120,0,1,22,16,0,0
IGP-KSRA,18,60,1,0,22,16,1,48
IGP-KSRA,15,300,3,1,22,16,3,254
IGP-KSRA,22,60,2,0,22,16,2,97
IGP-KSRA,0,360,3,1,22,16,3,283
IGP-KSRA,6,120,1,0,22,16,1,42
IGP-KSRA,3,60,0,0,22,16,0,0
KSRA-KYN,15,480,11,1,22,68,12,1500
KSRA-KYN,8,180,5,1,22,68,5,390
KSRA-KYN,0,300,2,0,22,68,2,161
KSRA-KYN,16,240,4,1,22,68,4,338
KSRA-KYN,16,480,10,1,22,68,11,1171
KSRA-KYN,3,300,2,0,22,68,2,143
KSRA-KYN,5,300,6,0,22,68,6,528
KSRA-KYN,7,300,8,1,22,68,9,939
KSRA-KYN,22,480,6,0,22,68,6,635
KSRA-KYN,17,120,0,1,22,68,0,0
KSRA-KYN,9,360,5,0,22,68,5,452
KSRA-KYN,19,360,9,1,22,68,10,1168
KSRA-KYN,2,60,1,0,22,68,1,45
KSRA-KYN,15,480,11,0,22,68,11,1321
KSRA-KYN,5,360,7,0,22,68,7,695
CSTM-DR,22,480,23,1,87,9,26,2751
CSTM-DR,3,120,9,0,87,9,9,899
CSTM-DR,13,480,27,0,87,9,27,2969
CSTM-DR,17,300,23,0,87,9,23,2544
CSTM-DR,5,240,19,1,87,9,21,2339
CSTM-DR,14,120,5,1,87,9,5,429
CSTM-DR,0,300,10,1,87,9,11,1133
CSTM-DR,14,180,7,0,87,9,7,664
CSTM-DR,22,120,7,1,87,9,8,876
CSTM-DR,7,360,24,0,87,9,24,2739
CSTM-DR,15,180,6,1,87,9,6,515
CSTM-DR,9,180,12,0,87,9,12,1375
CSTM-DR,2,360,26,1,87,9,29,3267
CSTM-DR,19,300,28,0,87,9,28,3266
CSTM-DR,8,60,2,0,87,9,2,112
JM-PVR,4,60,0,1,1,673,0,0
JM-PVR,9,480,0,1,1,673,0,0
JM-PVR,0,480,0,1,1,673,0,0
JM-PVR,9,360,0,0,1,673,0,0
JM-PVR,22,480,0,1,1,673,0,0
JM-PVR,14,480,0,1,1,673,0,0
JM-PVR,5,480,1,1,1,673,1,162
JM-PVR,20,60,0,1,1,673,0,0
JM-PVR,3,360,1,0,1,673,1,115
JM-PVR,1,60,0,1,1,673,0,0
JM-PVR,14,240,0,1,1,673,0,0
JM-PVR,19,120,0,1,1,673,0,0
JM-PVR,4,300,1,0,1,673,1,92
JM-PVR,2,360,0,0,1,673,0,0
JM-PVR,23,480,0,0,1,673,0,0
KMN-PVR,13,180,0,0,1,685,0,0
KMN-PVR,7,240,0,0,1,685,0,0
KMN-PVR,21,180,0,1,1,685,0,0
KMN-PVR,7,120,0,1,1,685,0,0
KMN-PVR,4,180,0,0,1,685,0,0
KMN-PVR,3,300,0,0,1,685,0,0
KMN-PVR,12,360,1,0,1,685,1,111
KMN-PVR,17,240,0,1,1,685,0,0
KMN-PVR,16,300,1,0,1,685,1,89
KMN-PVR,6,120,0,0,1,685,0,0
KMN-PVR,23,180,0,1,1,685,0,0
KMN-PVR,11,480,1,1,1,685,1,169
KMN-PVR,11,480,1,0,1,685,1,166
KMN-PVR,20,180,0,0,1,685,0,0
KMN-PVR,4,300,0,0,1,685,0,0
KMN-KWV,17,180,0,1,1,632,0,0
KMN-KWV,8,60,0,0,1,632,0,0
KMN-KWV,19,60,0,0,1,632,0,0
KMN-KWV,19,120,0,0,1,632,0,0
KMN-KWV,3,60,0,1,1,632,0,0
KMN-KWV,10,360,0,0,1,632,0,0
KMN-KWV,22,60,0,0,1,632,0,0
KMN-KWV,19,180,0,0,1,632,0,0
KMN-KWV,21,360,1,1,1,632,1,120
KMN-KWV,1,480,0,0,1,632,0,0
KMN-KWV,2,120,0,1,1,632,0,0
KMN-KWV,10,240,0,0,1,632,0,0
KMN-KWV,20,120,0,0,1,632,0,0
KMN-KWV,19,360,1,1,1,632,1,119
KMN-KWV,9,120,0,1,1,632,0,0
JEUR-KWV,7,60,2,1,10,34,2,120
JEUR-KWV,19,60,2,0,10,34,2,112
JEUR-KWV,14,240,2,0,10,34,2,126
JEUR-KWV,17,60,1,0,10,34,1,47
JEUR-KWV,6,180,2,1,10,34,2,99
JEUR-KWV,14,120,1,1,10,34,1,45
JEUR-KWV,11,120,1,0,10,34,1,47
JEUR-KWV,3,360,2,0,10,34,2,181
JEUR-KWV,8,60,0,0,10,34,0,0
JEUR-KWV,15,240,2,1,10,34,2,139
JEUR-KWV,1,480,2,1,10,34,2,238
JEUR-KWV,16,180,1,1,10,34,1,41
JEUR-KWV,22,240,2,1,10,34,2,141
JEUR-KWV,0,300,1,1,10,34,1,93
JEUR-KWV,20,240,1,0,10,34,1,65
BGVN-JEUR,10,360,0,1,12,47,0,0
BGVN-JEUR,10,300,0,1,12,47,0,0
BGVN-JEUR,0,120,1,1,12,47,1,42
BGVN-JEUR,21,240,1,0,12,47,1,70
BGVN-JEUR,15,360,6,1,12,47,6,623
BGVN-JEUR,22,60,0,0,12,47,0,0
BGVN-JEUR,21,480,2,1,12,47,2,232
BGVN-JEUR,4,120,3,1,12,47,3,193
BGVN-JEUR,6,240,2,0,12,47,2,126
BGVN-JEUR,16,240,4,1,12,47,4,304
BGVN-JEUR,17,300,6,1,12,47,6,626
BGVN-JEUR,11,60,0,1,12,47,0,0
BGVN-JEUR,2,60,0,1,12,47,0,0
BGVN-JEUR,0,300,2,1,12,47,2,149
BGVN-JEUR,9,360,0,1,12,47,0,0
BGVN-DD,22,120,0,1,12,28,0,0
BGVN-DD,0,360,5,1,12,28,5,517
BGVN-DD,20,480,6,0,12,28,6,623
BGVN-DD,7,120,0,0,12,28,0,0
BGVN-DD,10,360,0,0,12,28,0,0
BGVN-DD,2,360,5,0,12,28,5,459
BGVN-DD,19,480,6,0,12,28,6,686
BGVN-DD,15,180,0,0,12,28,0,0
BGVN-DD,22,60,0,0,12,28,0,0
BGVN-DD,23,240,1,0,12,28,1,67
BGVN-DD,14,240,0,1,12,28,0,0
BGVN-DD,18,240,6,1,12,28,6,609
BGVN-DD,19,300,5,1,12,28,5,447
BGVN-DD,3,480,5,1,12,28,5,579
BGVN-DD,19,120,3,1,12,28,3,191
ANG-DD,8,240,5,0,47,84,5,428
ANG-DD,9,300,8,1,47,84,9,968
ANG-DD,21,480,14,1,47,84,16,1712
ANG-DD,9,240,8,1,47,84,9,915
ANG-DD,14,60,0,0,47,84,0,0
ANG-DD,15,360,12,1,47,84,13,1378
ANG-DD,12,120,3,0,47,84,3,168
ANG-DD,15,360,12,1,47,84,13,1379
ANG-DD,20,360,12,1,47,84,13,1404
ANG-DD,19,60,3,0,47,84,3,195
ANG-DD,5,240,13,1,47,84,14,1607
ANG-DD,15,60,1,0,47,84,1,45
ANG-DD,15,360,12,0,47,84,12,1416
ANG-DD,22,120,6,0,47,84,6,518
ANG-DD,18,120,5,0,47,84,5,380
ANG-BAP,12,60,1,1,32,67,1,47
ANG-BAP,2,120,4,0,32,67,4,264
ANG-BAP,21,180,4,0,32,67,4,285
ANG-BAP,4,120,5,0,32,67,5,410
ANG-BAP,14,360,5,1,32,67,5,535
ANG-BAP,18,180,7,1,32,67,8,888
ANG-BAP,6,480,8,1,32,67,9,1143
ANG-BAP,13,120,0,1,32,67,0,0
ANG-BAP,17,60,1,0,32,67,1,39
ANG-BAP,11,180,2,0,32,67,2,110
ANG-BAP,23,60,2,1,32,67,2,101
ANG-BAP,12,180,1,1,32,67,1,42
ANG-BAP,23,120,4,0,32,67,4,291
ANG-BAP,5,180,4,0,32,67,4,297
ANG-BAP,12,120,1,1,32,67,1,49
BAP-KPG,5,480,7,0,28,44,7,782
BAP-KPG,23,480,12,1,28,44,13,1352
BAP-KPG,4,300,5,1,28,44,5,513
BAP-KPG,8,360,6,0,28,44,6,583
BAP-KPG,16,480,10,1,28,44,11,1250
BAP-KPG,10,480,4,1,28,44,4,419
BAP-KPG,21,360,11,1,28,44,12,1327
BAP-KPG,4,360,6,1,28,44,6,668
BAP-KPG,7,60,1,1,28,44,1,45
BAP-KPG,12,120,1,1,28,44,1,47
BAP-KPG,20,480,18,1,28,44,20,2305
BAP-KPG,4,240,3,0,28,44,3,209
BAP-KPG,7,300,6,0,28,44,6,591
BAP-KPG,10,120,2,1,28,44,2,120
BAP-KPG,16,360,8,1,28,44,9,1025
KPG-MMR,7,480,14,1,56,42,16,1748
KPG-MMR,3,240,7,0,56,42,7,655
KPG-MMR,13,120,3,1,56,42,3,209
KPG-MMR,20,480,26,0,56,42,26,2605
KPG-MMR,20,480,26,1,56,42,29,3038
KPG-MMR,7,120,4,1,56,42,4,296
KPG-MMR,1,480,17,0,56,42,17,2061
KPG-MMR,14,240,8,0,56,42,8,866
KPG-MMR,8,240,6,0,56,42,6,538
KPG-MMR,14,180,5,0,56,42,5,360
KPG-MMR,13,300,11,1,56,42,12,1266
KPG-MMR,17,360,19,1,56,42,21,2434
KPG-MMR,2,60,4,1,56,42,4,283
KPG-MMR,5,300,8,0,56,42,8,899
KPG-MMR,13,180,4,1,56,42,4,292
BDWD-BSL,14,180,0,1,4,30,0,0
BDWD-BSL,20,360,0,1,4,30,0,0
BDWD-BSL,20,360,0,1,4,30,0,0
BDWD-BSL,9,180,2,0,4,30,2,108
BDWD-BSL,10,240,0,1,4,30,0,0
BDWD-BSL,3,180,1,1,4,30,1,41
BDWD-BSL,11,360,0,1,4,30,0,0
BDWD-BSL,21,60,0,1,4,30,0,0
BDWD-BSL,15,240,0,1,4,30,0,0
BDWD-BSL,16,180,0,0,4,30,0,0
BDWD-BSL,15,180,0,0,4,30,0,0
BDWD-BSL,22,120,0,0,4,30,0,0
BDWD-BSL,16,300,1,0,4,30,1,92
BDWD-BSL,9,60,2,1,4,30,2,119
BDWD-BSL,0,180,0,0,4,30,0,0
BDWD-MKU,17,60,0,0,10,20,0,0
BDWD-MKU,3,60,0,1,10,20,0,0
BDWD-MKU,4,120,1,0,10,20,1,39
BDWD-MKU,23,240,3,1,10,20,3,227
BDWD-MKU,17,60,0,0,10,20,0,0
BDWD-MKU,0,360,3,1,10,20,3,263
BDWD-MKU,20,240,1,0,10,20,1,71
BDWD-MKU,5,60,1,0,10,20,1,47
